X,Y,objectid,class,gisassetid,material,owns,maintains,lasteditor,horzontalprecision,surveytype,surveydate,mode
147.1374628863949,-41.435818391357216,1001,Bench Seat without back,,TIMBER,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
147.137551560755099,-41.435837174208508,1002,Bench Seat with back,,TIMBSTL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
147.137380992124491,-41.435799265260513,1003,Bench Seat with back,,TIMBSTL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-17T00:00:00.000Z,active
147.136161565611587,-41.436336476894169,1004,Bench Seat with back,,STEEL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-18T00:00:00.000Z,active
147.136102057430548,-41.436360654216884,1005,Bench Seat with back,,STEEL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-18T00:00:00.000Z,active
147.136480270959623,-41.436185483994812,1006,Bench Seat without back,,STEEL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-18T00:00:00.000Z,active
147.136434380519006,-41.436186042847908,1007,Bench Seat without back,,STEEL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-18T00:00:00.000Z,active
147.136395926252902,-41.436199482672848,1008,Bench Seat without back,,STEEL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-18T00:00:00.000Z,active
147.136438854991667,-41.436202152050875,1009,Bench Seat without back,,STEEL,LCC Parks,LCC Parks,CORNWELLL,,Surveyed & GPS RTK,2018-07-18T00:00:00.000Z,active
147.137217340114148,-41.435976948966484,1010,Bench Seat with back,,TIMBER,LCC Parks,LCC Parks,CORNWELLL,,Taped,2018-07-18T00:00:00.000Z,active
147.132658941736793,-41.438308039444436,1011,Bench Seat with back,,STEEL,LCC Parks,LCC Parks,ORDERSR,,Photogrammetry,2018-07-31T00:00:00.000Z,
147.138364136237101,-41.436600447304841,1,Seat with back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,estimate,2017-04-19T00:00:00.000Z,
147.138529039875266,-41.436816811091475,2,Seat with back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,estimate,2017-04-19T00:00:00.000Z,
147.138586321237455,-41.43687931034971,3,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,estimate,2017-04-19T00:00:00.000Z,
147.138393594159879,-41.436644609221233,4,Seat with back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,estimate,2017-04-19T00:00:00.000Z,
147.138607438077855,-41.436912960537235,5,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,estimate,2017-04-19T00:00:00.000Z,
147.13824856204036,-41.438942780411168,6,Seat without back,,,LCC Roads,LCC Roads,Ordersr,,estimate,2010-03-19T00:00:00.000Z,
147.138360491456467,-41.438892685494935,7,Seat without back,,,LCC Roads,LCC Roads,Ordersr,,estimate,2010-03-19T00:00:00.000Z,
147.13701366798071,-41.437754590339367,8,Seat without back,,,LCC Roads,LCC Roads,Ordersr,,estimate,2010-03-19T00:00:00.000Z,
147.136930490331054,-41.437664136479292,9,Seat with back,,,LCC Roads,LCC Roads,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.138890854272148,-41.437523009025213,10,Seat with back,,TIMBER,LCC Roads,LCC Roads,HARVEYS,0.100000,Surveyed & GPS RTK,2017-07-05T00:00:00.000Z,active
147.138908334555083,-41.437544649274855,11,Seat with back,,TIMBER,LCC Roads,LCC Roads,HARVEYS,0.100000,Odometer,2017-07-05T00:00:00.000Z,active
147.139558224796531,-41.43625965905288,12,Seat with back,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,active
147.139583633385939,-41.436246530348328,13,Seat with back,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,active
147.139606934835484,-41.436232623240436,14,Seat with back,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,estimate,2014-04-24T00:00:00.000Z,active
147.139643563139373,-41.436122594785942,15,Seat with back,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,Submetre GPS,2015-04-29T00:00:00.000Z,active
147.136737944596575,-41.435509426988077,16,Seat without back,,TIMBER,LCC Parks,LCC Parks,ORDERSR,,sm,2017-04-20T00:00:00.000Z,
147.13792342186693,-41.435714953214152,17,Seat with back,,TIMBER,LCC Roads,LCC Roads,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.137902068383852,-41.435894883942183,18,Seat without back,,TIMBER,LCC Roads,LCC Roads,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.137939728127407,-41.435951336861557,19,Seat without back,,TIMBER,LCC Roads,LCC Roads,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.137981327256,-41.436003325404712,20,Seat without back,,TIMBER,LCC Roads,LCC Roads,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.13803682780906,-41.436088007276183,21,Seat without back,,TIMBER,LCC Roads,LCC Roads,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.139676200508944,-41.440397425709833,22,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.139729951439136,-41.440479539870111,23,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.139820870578603,-41.440597270606183,24,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.139853954829221,-41.44065149994546,25,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.139891155093352,-41.440702622071704,26,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.139928348758048,-41.440750644697566,27,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.139967622580656,-41.440807966870828,28,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140004816358157,-41.440855987669394,29,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140046154963102,-41.440914858401008,30,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.1400771739699,-41.440965988889729,31,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140124709754616,-41.441032603938176,32,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140709604977076,-41.440887689188237,33,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140789907242493,-41.44085968107013,34,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140864017832314,-41.44082702898158,35,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140946366655697,-41.440792817454984,36,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.141047249937941,-41.440753928949349,37,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140635487545211,-41.440917239888073,38,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140530511231702,-41.44097008751806,39,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140446107332195,-41.441007402552195,40,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140365819300655,-41.441041613907551,41,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.141150180973909,-41.440708837049392,42,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140705759418893,-41.439949698652931,43,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.14074685609981,-41.440008486568516,44,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140796459860127,-41.440078200118307,45,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140848094845893,-41.44013395576976,46,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140895624102853,-41.440197470120332,47,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140986919060481,-41.440315492225032,48,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.141025566614644,-41.440365770908898,49,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.141066139716969,-41.440418558521671,50,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.141103059981447,-41.440466590112663,51,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.141147714342935,-41.440521224641095,52,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.141191109316367,-41.440578541342383,53,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140939166389586,-41.440253365349101,54,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140676593192893,-41.439913987877375,55,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140050637606777,-41.440124076122643,56,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
147.140124738665662,-41.440088322319411,57,Seat with back,,Timber,LCC Parks,LCC Parks,ORDERSR,,estimate,2010-03-19T00:00:00.000Z,
