X, Y, Objectid, Commentary
147.120875, -41.441691, 1033, ? Gorge,
147.120005, -41.442457, 1034, ? Gorge,
147.136017, -41.445611, 1098, tricky titles,
147.119111, -41.394800, 1119, Tamarleigh,
147.120033, -41.397907, 1125, Newnham Hall,
147.119172, -41.399899, 1126, Newnham Hall,
147.120033, -41.397907, 1127, Riversdide Cottage,
147.119172, -41.399899, 1128, Riversdide Cottage,
147.139425, -41.435391, 1142, Luck's,
147.139523, -41.435418, 1143, Luck's,
147.139523, -41.435418, 1144, Luck's,
147.137143, -41.436584, 1148, Wes Chambers,
147.136791, -41.436490, 1149, Wes Chambers,
147.136798, -41.436765, 1150, Wes Chambers,
147.137513, -41.436521, 1151, Wes Chambers,
147.136700, -41.436563, 1152, Wes Chambers,
147.136765, -41.436526, 1153, Wes Chambers,
147.136877, -41.436454, 1154, Chapel,
147.137137, -41.436566, 1155, Church,
147.132021, -41.439509, 1165, Tudor Shop,
147.125796, -41.440422, 1242, Gorge,
147.136642, -41.435810, 1247, Town Hall - Not THR?,
147.136492, -41.436021, 1248, Town Hall - Not THR?,
147.136843, -41.435721, 1249, Town Hall - Not THR?,
147.136793, -41.435229, 1250, Town Hall - Not THR?,
147.136923, -41.435393, 1251, Town Hall - Not THR?,
147.137099, -41.435597, 1252, Town Hall - Not THR?,
147.138085, -41.435926, 1259, Public Bdgs,
147.141415, -41.441047, 1287, Chalmers,
147.127114, -41.440289, 1377, King's Bridge,
147.133644, -41.437760, 1390, QVMAG,
147.139032, -41.444104, 1427, titles,
147.144467, -41.454771, 1449, Glen Dhu,
147.140808, -41.431380, 1484, Gasworks,
147.148044, -41.436320, 6, ,
147.140106, -41.431312, 217, cottages,
147.128842, -41.440350, 235, Mill,
147.126371, -41.440254, 236, Cottage,
147.146443, -41.432862, 237, Glenfruin,
147.139793, -41.434419, 249, Theatre,
147.137531, -41.435404, 328, double PO,
147.137531, -41.435404, 329, update to PO?,
147.137414, -41.436203, 330, Civic Sq,
147.137343, -41.436011, 331, Civic Sq,
147.137498, -41.435943, 332, Civic Sq,
147.137252, -41.436242, 333, Library,
147.135934, -41.436154, 335, Macquarie,
147.133882, -41.435867, 357, CH Smith,
147.134390, -41.435615, 385, CH Smith,
147.134119, -41.435408, 386, CH Smith,
147.134135, -41.436057, 387, CH Smith,
147.134500, -41.435759, 388, CH Smith,
147.134100, -41.435786, 389, CH Smith,
147.133896, -41.432697, 390, JMC,
147.133706, -41.432733, 391, JMC,
147.134044, -41.432688, 392, JMC,
147.134274, -41.434174, 393, JMC,
147.133764, -41.433193, 394, JMC,
147.136546, -41.437639, 403, added,
147.137108, -41.437404, 424, added,
147.145315, -41.430240, 552, Not in study,
147.141409, -41.431912, 573, Gasworks,
147.136797, -41.434225, 579, Woolgrowers,
147.141684, -41.447784, 586, Ockerby,
147.109378, -41.445116, 613, Gorge,
147.116183, -41.444031, 614, Gorge,
147.113932, -41.440559, 615, Gorge,
147.117317, -41.446186, 616, Gorge,
147.117307, -41.441140, 617, Gorge,
147.117428, -41.444810, 618, Gorge,
147.146849, -41.431826, 692, fountain,
147.140405, -41.440535, 802, Princes Square,
147.138171, -41.433097, 806, Boags,
147.138159, -41.433052, 807, Boags,
147.138058, -41.432935, 808, Tulloch's,
147.138189, -41.433097, 809, Tulloch's,
147.139822, -41.435941, 844, ? Title,
147.139786, -41.435995, 846, ? Tltle,
147.139964, -41.436013, 848, ? Tltle,
147.158672, -41.426252, 937, Powder Mag,
147.162203, -41.428571, 938, Powder Mag,
147.154218, -41.419704, 939, Powder Mag,
